 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
1,JKR,1,178,284,211,268,198.5,240,230.5,231,247.833,228.5,216.5,243,-1,-1,-1,-1,-1,-1
2,JKR,2,180.5,280.5,213,266.5,204,237.5,241,227.5,257.5,226.5,225,239.5,-1,-1,-1,-1,-1,-1
3,JKR,3,179.5,283.5,212.5,269.5,202,240.5,237.5,230,254.5,228.5,221.5,242,-1,-1,-1,-1,-1,-1
4,JKR,4,185.5,291.5,215,276,205,248.5,237.5,234,251.5,230,222.5,246.5,-1,-1,-1,-1,-1,-1
5,JKR,5,187.5,298.5,218.5,279.5,205.5,253.5,236,233,250,230,223,248,-1,-1,-1,-1,-1,-1
6,JKR,6,188,299,218,281,206.5,254,236,235.5,253,231.5,224,249,-1,-1,-1,-1,-1,-1
7,JKR,7,187.5,301.5,217.5,283,207,257,237.5,237,253,231.5,223.5,251,-1,-1,-1,-1,-1,-1
8,JKR,8,185.5,303.5,217,284,204.5,258,234.5,237.5,251,233,221,251,-1,-1,-1,-1,-1,-1
9,JKR,9,185.5,306.5,213.5,288,204,262,235.5,239.5,250,234.5,222,252.5,-1,-1,-1,-1,-1,-1
10,JKR,10,185,307,214,289,204.5,262.5,235,240.5,249,235.5,222,255,-1,-1,-1,-1,-1,-1
11,JKR,11,185.5,309,215,289.5,205,264.5,234.5,241.5,250,237.5,222,256,-1,-1,-1,-1,-1,-1
12,JKR,12,187.5,310,218,289,206,265,233.5,242.5,249.5,237.5,222.5,256.5,-1,-1,-1,-1,-1,-1
13,JKR,13,189,309.5,219,288.5,207,265,234.5,243,250,238.5,223,256.5,-1,-1,-1,-1,-1,-1
14,JKR,14,188.5,311.5,218.5,291,207,266,236,243.5,251,237.5,223,257.5,-1,-1,-1,-1,-1,-1
15,JKR,15,189,312.5,221,290.5,207.5,267.5,236,244,251.5,239.5,222.5,258,-1,-1,-1,-1,-1,-1
16,JKR,16,193,321,222.5,298,207,275,232,251,246.5,246,222.5,265,-1,-1,-1,-1,-1,-1
17,JKR,17,190,321.5,220.5,299.5,206,274.5,229.5,252,245,248,219.5,266.5,-1,-1,-1,-1,-1,-1
18,JKR,18,192,325.5,221,302,206,278.5,229.5,254.5,244,248,219.5,269.5,-1,-1,-1,-1,-1,-1
19,JKR,19,193.5,326.5,220,305,206,280.5,228.5,255.5,242.5,251,219,271.5,-1,-1,-1,-1,-1,-1
20,JKR,20,193.5,329,221,304,206,281.5,229,257.5,242.5,250.5,220,272,-1,-1,-1,-1,-1,-1
21,JKR,21,195.5,331.5,223.5,306,205.5,285,227,258.5,242.5,252,219.5,274,-1,-1,-1,-1,-1,-1
22,JKR,22,195,334,221.5,310,204.5,287.5,227,260.5,240.5,253.5,218,276,-1,-1,-1,-1,-1,-1
23,JKR,23,195,334.5,223,310,204,288.5,226.5,261.5,239.5,255.5,217.5,277.5,-1,-1,-1,-1,-1,-1
24,JKR,24,198,338,224.5,311.5,206,289,226,263,240,256.5,217.5,279.5,-1,-1,-1,-1,-1,-1
25,JKR,25,199,338,225.5,313,207,291,227.5,262.5,240,256.5,219,280,-1,-1,-1,-1,-1,-1
26,JKR,26,201.5,340,226.5,313.5,207.5,292.5,226.5,264,240,257.5,220.5,280.5,-1,-1,-1,-1,-1,-1
27,JKR,27,202.5,342,226.5,315,208,292.5,226.5,265,240.5,257.5,220,282,-1,-1,-1,-1,-1,-1
28,JKR,28,204.5,342.5,227.5,315.5,209.5,293,226,265.5,240.5,258,221.5,284,-1,-1,-1,-1,-1,-1
29,JKR,29,205.5,343,229.5,316.5,209.5,294,227,266,240.5,259.5,220.5,285.5,-1,-1,-1,-1,-1,-1
30,JKR,30,206,345,230.5,317,210,293.5,226.5,266.5,240.5,259,222,285,-1,-1,-1,-1,-1,-1
31,JKR,31,204.5,345.5,230,318,210,294.5,226.5,267,239.5,259,220.5,285,-1,-1,-1,-1,-1,-1
32,JKR,32,207.5,346.5,231.5,319,210.5,296.5,226.5,269.5,239.5,261,221,288,-1,-1,-1,-1,-1,-1
33,JKR,33,207.5,349,231.5,319,212,297.5,226.5,270,238,262.5,221,289.5,-1,-1,-1,-1,-1,-1
34,JKR,34,206.5,358,230.5,324,209,306.5,223.5,275.5,236.5,265,219.5,294.5,-1,-1,-1,-1,-1,-1
35,JKR,35,205.5,361,229,328,208,308,223.5,278.5,236,269.5,218,297,-1,-1,-1,-1,-1,-1
36,JKR,36,176.5,321,210.5,302.5,196.5,276.5,230.5,255,248,252,215,270.5,-1,-1,-1,-1,-1,-1
37,JKR,37,189,318.5,218.5,303.5,206.5,276,229,260,242.5,256.5,218.5,274.5,-1,-1,-1,-1,-1,-1
38,JKR,38,192,323.5,221,305.5,207.5,279,230,260.5,244,257.5,219,274.5,-1,-1,-1,-1,-1,-1
39,JKR,39,193,327.5,224,307.5,208,283,232.5,260.5,248,256,221,276.5,-1,-1,-1,-1,-1,-1
40,JKR,40,195.5,328,223.5,309,210,282,234,260.5,250,256,223,275,-1,-1,-1,-1,-1,-1
41,JKR,41,197,333,225,310.5,210.5,286,232.5,260.5,248.5,255.5,225,276,-1,-1,-1,-1,-1,-1
42,JKR,42,199,331,225.5,312,211.5,285.5,234,260.5,248,256.5,224,277,-1,-1,-1,-1,-1,-1
43,JKR,43,203.5,334,229,313,214,288.5,234.5,262,248,257,226,277.5,-1,-1,-1,-1,-1,-1
44,JKR,44,204.5,334.5,231,313,215.5,287.5,235.5,262.5,249,256.5,227.5,277.5,-1,-1,-1,-1,-1,-1
