 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
1,JKR,1,134.5,276.5,183.833,269.5,169,232.5,223,237,242,243,199.167,244.5,-1,-1,-1,-1,-1,-1
2,JKR,2,158,300.5,-1,-1,181.5,248.5,234,234.5,250,236.5,214,246.5,-1,-1,-1,-1,-1,-1
3,JKR,3,159,300.5,-1,-1,182.5,248,234,233.5,249,235.5,214,247,-1,-1,-1,-1,-1,-1
4,JKR,4,173,308.5,-1,-1,192.5,258,244,240.5,257.5,241,227,253,-1,-1,-1,-1,-1,-1
5,JKR,5,172,308,-1,-1,191.5,256.5,243.5,241,257.5,240.5,227,252,-1,-1,-1,-1,-1,-1
6,JKR,6,176.5,312,-1,-1,194.5,260,246,243,259,243,228.5,255,-1,-1,-1,-1,-1,-1
7,JKR,7,180,311,-1,-1,197,259.5,248.5,242.5,262.5,243,231.5,255,-1,-1,-1,-1,-1,-1
8,JKR,8,180.5,308,-1,-1,199.5,258.5,251,240.5,264,241,233,254,-1,-1,-1,-1,-1,-1
9,JKR,9,185.5,309.5,-1,-1,200.5,260,251.5,241.5,264,241,235,254,-1,-1,-1,-1,-1,-1
10,JKR,10,170.5,305,-1,-1,190,256.5,242,238,258,239.5,224,250.5,-1,-1,-1,-1,-1,-1
11,JKR,11,168,301.5,-1,-1,190,253.5,242,238,259,240,224.5,251.5,-1,-1,-1,-1,-1,-1
12,JKR,12,146.5,297.5,188.5,283.5,175,249.5,229.5,242,248.5,245.5,208,252.5,-1,-1,-1,-1,-1,-1
13,JKR,13,148,296.5,187,283,176.5,248,230,240,247.5,242,208.5,250.5,-1,-1,-1,-1,-1,-1
14,JKR,14,155.5,298.5,190.5,284,177,250,229,231.5,247,233.5,210,244.5,-1,-1,-1,-1,-1,-1
15,JKR,15,163,303.5,-1,-1,188,254.5,241.5,241,256.5,243,220.5,253,-1,-1,-1,-1,-1,-1
16,JKR,16,179,310,-1,-1,195.5,260.5,247.5,239.5,261.5,240,230.5,252.5,-1,-1,-1,-1,-1,-1
17,JKR,17,177.5,308,-1,-1,197,258,249,240,261.5,239.5,229.5,252.5,-1,-1,-1,-1,-1,-1
18,JKR,18,176.5,328.5,-1,-1,194.5,275.5,245.5,254,259,250,228.5,267,-1,-1,-1,-1,-1,-1
19,JKR,19,178.5,323,-1,-1,195.5,272,248,250,260,247.5,229.5,265,-1,-1,-1,-1,-1,-1
20,JKR,20,194,325,-1,-1,206.5,271.5,253.5,247.5,263,245,238,262.5,-1,-1,-1,-1,-1,-1
21,JKR,21,195.5,322.5,-1,-1,206.5,270,253.5,244.5,264,243.5,237.5,259.5,-1,-1,-1,-1,-1,-1
22,JKR,22,185.5,317,-1,-1,203,267,254,248,266.5,246,235,261.5,-1,-1,-1,-1,-1,-1
