ID,Initials,Treatment,Slice,Eye.Temp,Eye.Quality,Bill.Temp,Bill.Quality,Xmin,Xmax,Xmean,Ymin,Ymax,Ymean,Blood.Sample,Handling
TZ24,JKR,Handled,1,34.729,Good,34.251,Good,189,234,211.5,155,200,177.5,0,0
TZ24,JKR,Handled,2,34.798,Good,34.347,Good,189,234,211.5,155,200,177.5,0,0
TZ24,JKR,Handled,3,34.798,Good,34.4,Good,189,234,211.5,155,200,177.5,0,0
TZ24,JKR,Handled,4,34.766,Good,34.299,Good,189,234,211.5,155,200,177.5,0,0
TZ24,JKR,Handled,5,34.682,Good,34.134,Good,194,239,216.5,140,185,162.5,0,0
TZ24,JKR,Handled,6,34.74,Good,34.192,Good,194,239,216.5,140,185,162.5,0,0
TZ24,JKR,Handled,7,34.766,Good,34.187,Good,194,239,216.5,140,185,162.5,0,0
TZ24,JKR,Handled,8,34.703,Good,34.288,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,9,34.735,Good,34.272,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,10,34.713,Good,34.256,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,11,34.735,Good,34.224,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,12,34.708,Good,34.256,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,13,34.687,Good,34.224,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,14,34.756,Good,34.272,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,15,34.756,Good,34.246,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,16,34.607,Good,34.107,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,17,34.803,Good,34.182,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,18,34.788,Good,34.278,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,19,34.745,Good,34.304,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,20,34.772,Good,34.405,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,21,34.946,Good,34.341,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,22,34.878,Good,34.395,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,23,34.814,Good,34.544,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,24,34.925,Good,34.458,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,25,35.047,Good,34.66,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,26,35.031,Good,34.719,Good,192,237,214.5,151,196,173.5,0,0
TZ24,JKR,Handled,27,35.079,Good,34.713,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,28,35.227,Good,34.851,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,29,35.29,Good,34.904,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,30,35.422,Good,34.962,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,31,35.448,Good,34.957,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,32,35.448,Good,34.936,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,33,35.501,Good,35.047,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,34,35.401,Good,35.153,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,35,35.474,Good,35.11,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,36,35.516,Good,35.168,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,37,35.532,Good,35.052,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,38,35.263,Good,35.021,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,39,35.39,Good,34.994,Good,195,240,217.5,158,203,180.5,0,0
TZ24,JKR,Handled,40,35.195,Good,34.899,Good,194,239,216.5,144,189,166.5,0,0
TZ24,JKR,Handled,41,35.511,Good,35.19,Good,194,239,216.5,144,189,166.5,0,0
TZ24,JKR,Handled,42,35.332,Good,35.147,Good,194,239,216.5,144,189,166.5,0,0
TZ24,JKR,Handled,43,35.258,Good,35.058,Good,194,239,216.5,144,189,166.5,0,0
TZ24,JKR,Handled,44,33.867,Poor Eye,34.027,Poor Beak,189,234,211.5,102,147,124.5,0,0
TZ24,JKR,Handled,45,0,0,0,0,0,0,0,0,0,0,0,0
