 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
1,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JKR,38,334.167,148.833,-1,-1,323.167,103.833,-1,-1,-1,-1,-1,-1,277.5,84.167,263.5,84.5,294.5,94.833
39,JKR,39,347.167,156.5,314.5,141.167,329.5,116.833,-1,-1,-1,-1,-1,-1,290.167,97.833,275.5,97.833,304.167,105.833
40,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,JKR,42,331.5,246.5,355.5,224.5,373.167,239.167,-1,-1,-1,-1,-1,-1,407.167,192.167,408.833,173.5,394.833,203.5
