ID,Initials,Treatment,Slice,Eye.Temp,Eye.Quality,Bill.Temp,Bill.Quality,Xmin,Xmax,Xmean,Ymin,Ymax,Ymean,Blood.Sample,Handling
TZ24,JKR,Control,1,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,2,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,3,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,4,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,5,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,6,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,7,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,8,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,9,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,10,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,11,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,12,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,13,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,14,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,15,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,16,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,17,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,18,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,19,0,0,27.154,Good,0,0,0,0,0,0,0,0
TZ24,JKR,Control,20,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,21,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,22,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,23,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,24,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,25,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,26,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,27,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,28,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,29,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,30,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,31,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,32,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,33,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,34,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,35,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,36,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,37,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,38,34.091,Poor Eye,27.491,Good,246,312,279,56,118,87,0,0
TZ24,JKR,Control,39,34.166,Good,27.473,Good,254,320,287,64,126,95,0,0
TZ24,JKR,Control,40,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,41,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,42,0,0,28.814,Good,0,0,0,0,0,0,0,0
TZ24,JKR,Control,43,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,44,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,45,34.512,Good,32.304,Good,358,424,391,140,202,171,0,0
TZ24,JKR,Control,46,34.692,Good,29.168,Good,363,429,396,106,168,137,0,0
TZ24,JKR,Control,47,34.4,Good,28.499,Good,326,392,359,76,138,107,0,0
TZ24,JKR,Control,48,34.347,Good,28.685,Good,326,392,359,76,138,107,0,0
TZ24,JKR,Control,49,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,50,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,51,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,52,34.448,Good,0,0,222,288,255,97,159,128,0,0
TZ24,JKR,Control,53,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,54,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,55,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,56,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,57,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,58,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,59,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,60,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,61,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,62,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,63,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,64,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,65,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,66,0,0,0,0,0,0,0,0,0,0,0,0
TZ24,JKR,Control,67,0,0,28.166,Good,0,0,0,0,0,0,0,0
TZ24,JKR,Control,68,34.134,Good,28.679,Good,220,286,253,81,143,112,0,0
TZ24,JKR,Control,69,0,0,0,0,0,0,0,0,0,0,0,0
