 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
1,JKR,1,626,327.5,597.5,320,601,283,-1,-1,-1,-1,-1,-1,568,277.5,549.5,279,579,284.5
2,JKR,2,624.5,322.5,595.5,316.5,602.5,281,-1,-1,-1,-1,-1,-1,566.5,278.5,550,281,578.5,284
3,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,JKR,14,632.5,299.5,599,299,600.5,262.5,-1,-1,-1,-1,-1,-1,555,267.5,537.5,273,570.5,269.5
15,JKR,15,630.5,301,592.5,300.5,599,262.5,-1,-1,-1,-1,-1,-1,554,267.5,536.5,273,569.5,269.5
16,JKR,16,631,302,595,300.5,598,263,-1,-1,-1,-1,-1,-1,555,268,537.5,273.5,569.5,271
17,JKR,17,630,302,593.5,301.5,596.5,262,-1,-1,-1,-1,-1,-1,553.5,268,536,273.5,569.5,273
18,JKR,18,630,299.5,590.5,299.5,593.5,259.5,-1,-1,-1,-1,-1,-1,550,260,534,266,566.5,265.5
19,JKR,19,630,298.5,-1,-1,593.5,259.5,-1,-1,-1,-1,-1,-1,550,260,533,266,566,265
20,JKR,20,629.5,297.5,591.5,298.5,593.5,259,-1,-1,-1,-1,-1,-1,549.5,260.5,532.5,266.5,565.5,264.5
21,JKR,21,631,297.5,591,298,593.5,257,-1,-1,-1,-1,-1,-1,548,259.5,533,266,565,263.5
