 ,Initials,Slice,BT_x,BT_y,BB_x,BB_y,CB_x,CB_y,LEB_x,LEB_y,LER_x,LER_y,LEF_x,LEF_y,REB_x,REB_y,RER_x,RER_y,REF_x,REF_y
1,JKR,1,148.5,144.5,-1,-1,188.167,99.833,242,105.5,259.833,109.833,225.167,111.833,-1,-1,-1,-1,-1,-1
2,JKR,2,148,142.5,179.5,137,174.5,102.5,207,99.5,221.5,104.5,195,109,-1,-1,-1,-1,-1,-1
3,JKR,3,101.5,175.5,138,165.5,131,128.5,183.5,123,202,124.5,167,131,-1,-1,-1,-1,-1,-1
4,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,JKR,6,561,251,535.5,227.5,555.5,200.5,-1,-1,-1,-1,-1,-1,544.5,179.5,534,174.5,547,195
7,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,JKR,8,528.5,149,502,140.5,507,107,-1,-1,-1,-1,-1,-1,493,104.5,482.5,106,501,114
9,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,JKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,JKR,20,338.5,164,364,155.5,351,126.5,371,124.5,384.5,124.5,365,134,-1,-1,-1,-1,-1,-1
21,JKR,21,324.5,143.5,351.5,132.5,339.5,100,366,93,381.5,93.5,356.5,102,-1,-1,-1,-1,-1,-1
22,JKR,22,293.5,198.5,317,189.5,304.5,163,329,164,343,166,322.5,170,-1,-1,-1,-1,-1,-1
23,JKR,23,326,117,356.5,119,357.5,88,388,95,402.5,101.5,375.5,98.5,-1,-1,-1,-1,-1,-1
