ID,Initials,Treatment,Slice,Eye.Temp,Eye.Quality,Bill.Temp,Bill.Quality,Xmin,Xmax,Xmean,Ymin,Ymax,Ymean,Blood.Sample,Handling
TZ09,JKR,Control,1,32.954,Good,31.306,Good,204,274,239,73,141,107,0,0
TZ09,JKR,Control,2,33.002,Good,0,0,174,244,209,73,141,107,0,0
TZ09,JKR,Control,3,33.239,Good,31.771,Good,151,221,186,92,160,126,0,0
TZ09,JKR,Control,4,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,5,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,6,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,7,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,8,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,9,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,10,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,11,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,12,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,13,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,14,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,15,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,16,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,17,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,18,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,19,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,20,33.395,Good,31.607,Good,339,409,374,89,157,123,0,0
TZ09,JKR,Control,21,33.212,Good,31.651,Good,335,405,370,58,126,92,0,0
TZ09,JKR,Control,22,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,23,33.797,Good,31.465,Good,350,420,385,66,134,100,0,0
TZ09,JKR,Control,24,33.915,Good,31.481,Good,344,414,379,35,103,69,0,0
TZ09,JKR,Control,25,33.578,Good,31.125,Good,344,414,379,35,103,69,0,0
TZ09,JKR,Control,26,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,27,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,28,33.669,Good,31.24,Good,520,590,555,128,196,162,0,0
TZ09,JKR,Control,29,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,30,0,0,31.059,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,31,0,0,31.18,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,32,0,0,31.037,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,33,0,0,31.459,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,34,0,0,31.246,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,35,0,0,31.492,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,36,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,37,0,0,31.913,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,38,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,39,0,0,32.169,Good,0,0,0,0,0,0,0,0
TZ09,JKR,Control,40,33.829,Good,32.092,Good,573,643,608,180,248,214,0,0
TZ09,JKR,Control,41,34.224,Good,0,0,579,649,614,179,247,213,0,0
TZ09,JKR,Control,42,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,43,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,44,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,45,33.979,Good,32.662,Good,520,590,555,163,231,197,0,0
TZ09,JKR,Control,46,33.583,Good,32.667,Good,520,590,555,163,231,197,0,0
TZ09,JKR,Control,47,33.443,Poor Eye,32.407,Good,418,488,453,165,233,199,0,0
TZ09,JKR,Control,48,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,49,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,50,0,0,0,0,0,0,0,0,0,0,0,0
TZ09,JKR,Control,51,0,0,0,0,0,0,0,0,0,0,0,0
